dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city
1640977200,1,417.23,0.0,5.1,62.94,1.33,5.8,7.2,1.84,Hassan
1640980800,1,417.23,0.0,4.93,60.08,1.67,6.06,7.5,1.73,Hassan
1640984400,1,413.89,0.0,4.88,58.65,2.09,7.33,9.0,1.65,Hassan
1640988000,1,407.22,0.0,4.63,58.65,2.35,7.61,9.17,1.55,Hassan
1640991600,1,400.54,0.0,4.2,58.65,2.41,7.12,8.48,1.54,Hassan
1640995200,1,393.87,0.0,3.77,59.37,2.29,6.62,7.82,1.5,Hassan
1640998800,1,387.19,0.0,3.47,59.37,2.03,6.42,7.61,1.55,Hassan
1641002400,1,377.18,0.0,3.26,61.51,1.56,5.67,6.71,1.49,Hassan
1641006000,1,363.83,0.09,3.0,64.37,1.16,4.44,5.3,1.41,Hassan
1641009600,1,350.48,0.15,2.21,69.38,0.89,3.37,4.0,1.23,Hassan
1641013200,1,343.8,0.14,1.76,73.67,0.83,3.41,3.98,1.27,Hassan
1641016800,1,340.46,0.14,1.74,76.53,0.89,4.24,4.81,1.36,Hassan
1641020400,1,340.46,0.13,1.86,77.25,0.93,3.97,4.46,1.31,Hassan
1641024000,1,347.14,0.11,2.48,76.53,1.12,3.47,3.94,1.36,Hassan
1641027600,1,353.81,0.14,3.38,74.39,1.49,3.51,3.99,1.46,Hassan
1641031200,1,353.81,0.13,3.38,72.96,1.58,3.96,4.47,1.58,Hassan
1641034800,1,343.8,0.09,3.3,71.53,1.49,4.76,5.3,1.79,Hassan
1641038400,1,333.79,0.03,3.34,70.1,1.37,5.61,6.18,1.96,Hassan
1641042000,1,337.12,0.0,3.51,70.1,1.22,6.32,6.91,2.28,Hassan
1641045600,1,347.14,0.0,3.51,70.81,1.09,6.52,7.15,2.44,Hassan
1641049200,1,357.15,0.0,3.47,70.1,1.01,6.47,7.17,2.28,Hassan
1641052800,1,370.5,0.0,3.81,65.8,1.04,5.89,6.71,2.15,Hassan
1641056400,1,390.53,0.0,4.58,59.37,1.18,4.77,5.72,2.15,Hassan
1641060000,1,410.56,0.0,5.48,53.64,1.31,4.67,5.67,2.09,Hassan
1641063600,1,433.92,0.0,6.0,50.07,1.42,5.92,6.91,1.98,Hassan
1641067200,1,447.27,0.0,5.91,48.64,1.56,8.15,9.13,1.84,Hassan
1641070800,1,453.95,0.0,5.31,50.07,1.74,9.66,10.59,1.57,Hassan
1641074400,1,447.27,0.0,4.54,52.93,1.94,9.3,10.23,1.41,Hassan
1641078000,2,440.6,0.0,4.11,53.64,2.03,10.11,11.21,1.44,Hassan
1641081600,2,423.91,0.0,3.86,53.64,2.0,10.29,11.48,1.5,Hassan
1641085200,2,403.88,0.0,3.86,53.64,2.0,10.83,12.25,1.54,Hassan
1641088800,2,387.19,0.02,4.24,51.5,2.06,11.32,13.12,1.54,Hassan
1641092400,2,370.5,0.5,4.07,48.64,2.03,11.04,13.15,1.6,Hassan
1641096000,1,333.79,0.85,2.78,51.5,1.91,9.71,11.88,1.68,Hassan
1641099600,1,313.76,0.58,1.99,63.66,1.91,9.82,12.08,1.92,Hassan
1641103200,2,307.08,0.35,1.44,77.25,1.94,11.74,14.21,2.09,Hassan
1641106800,1,280.38,0.14,1.0,72.96,1.3,9.02,10.86,1.6,Hassan
1641110400,1,273.7,0.08,1.03,73.67,1.12,8.61,10.38,1.54,Hassan
1641114000,2,283.72,0.07,1.16,80.11,1.21,9.57,11.52,1.68,Hassan
1641117600,2,287.06,0.06,1.33,81.54,1.22,9.26,11.15,1.82,Hassan
1641121200,1,280.38,0.06,1.8,77.96,1.25,8.16,9.99,2.06,Hassan
1641124800,1,280.38,0.04,2.55,73.67,1.36,7.65,9.59,2.41,Hassan
1641128400,1,300.41,0.0,4.41,68.66,1.58,8.24,10.66,3.8,Hassan
1641132000,1,313.76,0.0,5.65,60.8,1.59,8.16,11.05,5.13,Hassan
1641135600,1,320.43,0.0,6.34,54.36,1.59,8.02,11.35,5.83,Hassan
1641139200,1,323.77,0.0,6.77,50.07,1.83,8.61,12.3,6.08,Hassan
1641142800,1,327.11,0.0,6.43,47.21,1.91,9.0,12.72,5.89,Hassan
1641146400,1,333.79,0.0,5.83,47.21,1.74,9.95,13.65,5.38,Hassan
1641150000,2,347.14,0.0,5.01,50.07,1.52,12.36,16.15,4.31,Hassan
1641153600,2,363.83,0.0,4.33,53.64,1.42,15.89,20.21,3.23,Hassan
1641157200,2,380.52,0.0,3.77,55.07,1.33,19.97,25.19,2.47,Hassan
1641160800,3,387.19,0.0,3.34,55.79,1.27,22.36,28.45,2.18,Hassan
1641164400,3,390.53,0.0,3.0,56.51,1.19,21.06,26.96,2.03,Hassan
1641168000,2,387.19,0.0,2.78,56.51,1.13,19.19,24.52,1.9,Hassan
1641171600,2,377.18,0.0,2.96,56.51,1.19,16.18,20.69,1.82,Hassan
1641175200,2,373.84,0.01,3.81,55.07,1.39,13.41,17.24,1.79,Hassan
1641178800,2,377.18,0.44,4.41,54.36,1.53,11.1,14.34,1.87,Hassan
1641182400,1,360.49,0.77,3.38,60.8,1.43,8.74,11.27,1.84,Hassan
1641186000,1,350.48,0.59,2.57,71.53,1.48,9.25,11.69,2.15,Hassan
